region,life_expectancy
Middle East,74.1
Middle East,66.4
Middle East,62.9
Middle East,73.0
Middle East,76.7
Middle East,64.5
Middle East,66.5
Middle East,78.6
Middle East,77.4
Middle East,76.1
Middle East,71.3
Middle East,71.8
Middle East,71.4
Middle East,72.4
Middle East,67.8
Middle East,68.5
Middle East,71.0
Middle East,59.8
Southern Europe,71.6
Southern Europe,83.5
Southern Europe,71.5
Southern Europe,78.8
Southern Europe,79.0
Southern Europe,78.4
Southern Europe,73.7
Southern Europe,79.0
Southern Europe,73.8
Southern Europe,77.9
Southern Europe,75.8
Southern Europe,81.1
Southern Europe,74.9
Southern Europe,
Southern Europe,72.4
